Link,Title,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=c3ea33eb7ad24308,Microsoft Azure Cloud Solution Architect,Success Korea 서울 논현동,,"포함 운영 및 구축 경험 경험자 우대 - 네트워크, 서버, 개발언어( Python,Java) 등 다양한 인프라 및 개발 환경 이해하고 있는 자 [전형... 네트워크, 서버, 개발언어( Python,Java) 등 다양한 인프라 및..."
https://kr.indeed.com/viewjob?jk=3d594f8990d3a797,Cloud System Engineer,Success Korea 서울,,"보유자 - CI/CD 구축 및 운영 경험자 우대사항 : - e커머스 서비스 운영 경험자 - 스크립팅 가능자 ( Python, Go, Shellscript) - Cloudformation, Ansible, Terraform 등..."
https://kr.indeed.com/viewjob?jk=5620b1845a6fad85,Microsoft 기술지원(Azure),Success Korea 서울 논현동,,"자격요건] - AWS기반 Serverless 개발 경험자 - Java, Python, Node.js등 백앤드 서버 개발 유 경험자 - System 및... 개발 경험자 - Java, Python, Node.js등 백앤드 서버 개발..."
https://kr.indeed.com/viewjob?jk=cebd49d1fc32d487,머신러닝 엔지니어 (5년이상),Success Korea 서울,,"Cloud 환경에서 AI 서비스 설계/운영 필수사항 : - Python 중급 이상 - PyTorch, Tensorflow, Keras 중 1개... 설계/운영 필수사항 : - Python 중급 이상 - PyTorch..."
https://kr.indeed.com/viewjob?jk=449c79ff66c3925c,Sydney Based Cloud Support Engineer,Success Korea 대한민국,,MySQL/PostgresSQL/MSSQL/Oracle 관련 경험 · Python/Java/Shell/Perl/Ruby/PHP 등 개발/스크립트 언어... Oracle 관련 경험 · Python/Java/Shell/Perl...
https://kr.indeed.com/viewjob?jk=de242c6c5e9207a9,응용프로그래머[JAVA],Success Korea 서울 성수동,,"SQL 개발 경험 필수 [우대사항] - Flex 개발 가능자 - C#, Python 언어 사용 가능자 - HTTP 기반의 통신(XML,JSon 데이터... Flex 개발 가능자 - C#, Python 언어 사용 가능자 - HTTP..."
https://kr.indeed.com/viewjob?jk=d3bb80eac8be7c5a,DevOps Developer(Cloud),Success Korea 서울 논현동,,"개발 경험 5년 이상 - .Net, Java, PHP, Node.js, Python, REST API 관련 이해도가 높은 자 - Cloud Web... Java, PHP, Node.js, Python, REST API 관련..."
https://kr.indeed.com/viewjob?jk=96a1ac98dcf0039c,Linux Engineer,Success Korea 서울,,"솔루션 운영관리 경험자 5. Couchbase shell script, python 등 서버 운영에 필요한 스크립트 개발 경험자 6. cfengine... shell script, python 등 서버 운영에 필요한 스크립트 개발..."
https://kr.indeed.com/viewjob?jk=9a159041784041c1,플랫폼 백엔드 개발,Success Korea 서울,,"대용량 시스템 설계 및 개발 경력 - Java, Spring, Python 기반 Web Application 개발 및 운영 경력 - MongoDB... Java, Spring, Python 기반 Web Application..."
https://kr.indeed.com/viewjob?jk=6373005ce9ee17b0,cloud/saas개발,Success Korea 서울,,"발업무 경력 3년이상 -Node.js(java-script), SpringBoot(Java), Django( Python) 실무 경험 1년 이상 (최소 1개 이상) -RDB(Oracle, MySQL, Postgres 1개 이상..."
https://kr.indeed.com/viewjob?jk=9d1700f4783d53e0,Cloud System Engineer (3년이상),Success Korea 서울,,"및 운영 경험 - SRE(Site reliability Engineers) 경험 - 스크립팅 역량 보유 ( Python, Go, Shellscript 등) - Terraform, Ansible, SaltStack, CDK 구축..."
https://kr.indeed.com/viewjob?jk=a36575ac8cc4c778,Full Stack engineer,Success Korea 서울 강남구,,"운영경험 - node.js/java 를 이용한 백엔드 개발 경험자 - Python, PHP, Shell 등을 이용한 데이터 및 DB처리 스크립트 개발... 이용한 백엔드 개발 경험자 - Python, PHP, Shell 등을 이용..."
https://kr.indeed.com/viewjob?jk=ee7bb11873ae75fa,[던전앤파이터] 리깅TA,네오플 서울 강남구,,"리깅 구조를 설계하고 확장해 나갈수 있으신 분 - max script, python, mel, c# 중 한 가지 이상 사용가능하신 분 ※ 포트폴리오... 3D 툴 사용경험이 있으신 분 - Python 툴 개발 경험이 있으신 분..."
https://kr.indeed.com/viewjob?jk=ef0efe8e091dde50,Marketing Data Engineer,네오위즈 대한민국,,데이터의 특성을 잘 파악하여 주요지표 모니터링 시스템 구축 가능) 3. 소통 능력이 뛰어나신 분 1. Python 혹은 Bash script로 배치 스크립트 작성이 가능하신 분 (+a 배치에 대한 잠재적 오류사항을...
https://kr.indeed.com/viewjob?jk=547650dd251bb508,"[현장코칭 숙련인력](주)아와소프트 웹(JAVA,JSP), Python,...",아와소프트 성남 분당구,,[근무조건] - 근무형태 : 정규직(수습기간)-3개월 - 근무일시 : 주 5일(월~금) 오전 9시~오후 6시 - 급여 : 회사내규에 따름 -근무지역 : (13506) 경기 성남시 분당구 성남대로916번길 11 글라스타워 3층...
https://kr.indeed.com/viewjob?jk=af5683389907a8c9,백엔드 개발자 (경력),크로스앵글 서울 역삼동,,"데이터 관리 (Auth0) - 블록체인 지갑 인증 (Ethereum, EOS) [자격요건] - 백엔드 & Python 실무 개발경험 3년 이상 혹은 그에 준하는 능력을 갖고 있으신 분 - 새로운 기술에 대해 호기심을 갖고..."
https://kr.indeed.com/viewjob?jk=09771a6f79b71060,Business Data Analyst(Azar/Hakuna),하이퍼커넥트 서울,,Excel Preferred Qualifications Comfort with R... Python Familiarity with Bigquery and Data Studio 360 English language...
https://kr.indeed.com/viewjob?jk=e0b78f2b2dfabc35,[빅데이터플랫폼] 데이터 플랫폼 운영자,한국카카오은행 성남 분당구,,"실무 경험이 있는 분 · 클라우드 및 가상화(Docker, Kubernetes) 사용 경험이 있는 분 · Python, Shell Script 로 개발 경험이 있는 분 [공통 우대 사항] · 국가유공자 및 장애인 등 취업보호..."
https://kr.indeed.com/viewjob?jk=12248f5a9fcf75ff,"Rigging TD, PipeLine TD",㈜프락시스스튜디오 서울,"연봉 22,000,000원 - 50,000,000원",기술 개발 사업 관련한 R&D 개발 업무. 연봉 : 협상 ( 희망 연봉 기재 ) 필요 역량 maya Python등 사용 가능자 Rigging 관련 지식이 있는 분 우대사항 maya API 또는 Auto Rigging...
https://kr.indeed.com/viewjob?jk=5887a398397788af,MMORPG·SNG 개발자 수시,이스트게임즈 서울 서초구,,"Java, JavaScript, Python, Go. - 새로운 프로그래밍... 응용프로그래머>JAVA|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>응용프로그래머>Objective-C"
https://kr.indeed.com/viewjob?jk=e26f899b8accca1a,Datacenter Engineer (강원도 춘천 근무),Oracle 3.8 서울,,"Base Operating System Install • Some experience with Perl, Python, Bash or Java • Core OS Services: ssh, telnet, ftp, nfs..."
https://kr.indeed.com/viewjob?jk=95dcdb50fd0cd7b4,[신규프로젝트: MARS]서버 소프트웨어 엔지니어 - 게임 개발,데브시스터즈 서울 강남구,,인터넷·IT·통신·모바일·게임>응용프로그래머>C#|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>응용프로그래머>Linux|인터넷·IT·통신·모바일·게임>웹프로그래머> Python
https://kr.indeed.com/viewjob?jk=60fab5928db185a3,(주)아이옵스 소프트웨어 개발자 경력직,아이옵스 대전 유성구,,"ㆍC++, C#, python, java 등 1개 이상의 개발환경 능숙자... 급여] - 5000만원 ~ 8000만원 [우대사항] - C++, C#, python, java 등 1개 이상의 개발환경 능숙자 - Windows..."
https://kr.indeed.com/viewjob?jk=6dca12692ef1e8ce,"2020 KOSME 내일애 특성화고 온택트 박람회 (웹개발, 프론트엔드...",서울소프트 서울 금천구,,"내일애 [특성화고 온택트 채용박람회] 회사소개 모집부문 및 자격요건 담당업무 자격요건 인원 [담당업무] Python, HTML,Javascript, jQuery 개발 및 유지보수 [근무부서 및 직급/직책] 근무부서: 개발팀..."
https://kr.indeed.com/viewjob?jk=b9e94c916fd66d05,Braze 운영 마케터,국내 이커머스 대기업 서울,"연봉 30,000,000원 - 60,000,000원","Customer Satisfaction Mgmt, 고객 만족 경영) - 데이터 관련 언어(big query, R, Python 등) 사용 가능 - Braze Developer 경험 보유 • 직급 : 대리 ~ 과장 • 근무..."
https://kr.indeed.com/viewjob?jk=2a2fd0d9b3acfaa9,DBA,비바리퍼블리카 서울 강남구,,분 Shell 운영 스크립트 개발이 가능하신 분 우대 사항 NoSQL (MongoDB) 운영경험이 있는 분 Python 개발이 가능하신 분 인터넷·IT·통신·모바일·게임>데이터베이스·DBA>MySQL|인터넷·IT·통신·모바일...
https://kr.indeed.com/viewjob?jk=3d9767102d05d20c,에이테크 함께할 R&D연구원(석사),에이테크 울산 중구,,"- 기본 데이터를 사용하기 위한 프로그램 사용 가능자 ( Python, C++, Tensorflow, Keras, OpenCV 등 실무 이해 가능자) - 머신러닝/딥러닝에 대한 폭넓은 기본지식 보유자 (데이터 분석 및 모델링 능력..."
https://kr.indeed.com/viewjob?jk=f16b25a987684f9c,Supply Chain IT Manager,Procter & Gamble 4.2 서울,,"require 1) Python programming skill... 00002945 Expertise in data tools (SQL, Python) : Designing and implementing highly..."
https://kr.indeed.com/viewjob?jk=25bd2e9729d88096,신약개발 및 프론트엔드/백엔드 개발자,아론티어 서울 서초구,,"를 개발하고 유지보수 / Python 소스코드를 최적화하고, 패키지화... 능자 [자격요건] 경력사항: Python 개발 경력 3년 이상자 Django 개발 경력 3년 이상자 Python 패키지화 능숙자 Unix (Linux..."
https://kr.indeed.com/viewjob?jk=a02e47c274d47675,Senior Data Scientist,MSD 서울,,use of R or Python to design and develop... some scripting languages like R or Python Collaborative: demonstrated experience...
https://kr.indeed.com/viewjob?jk=4ea5f0a4f1faa8c7,2020 [SW개발자],씨젠 서울 송파구,,"경험 •Java, JavaScript, Python, Linux 능숙자... 프로그래밍 언어에 대한 이해와 경험 (Java, Node.js, R, Python, React, HTML5, CSS) •데이터 분석/통계/그래프 SW..."
https://kr.indeed.com/viewjob?jk=fb3395b4ba6b4f61,SW Engineer for R&D Extension Korea,Applied Materials Inc. 경기도 화성,,"engineer with C, C++, C#, Java, MATLAB, SQL data base, Python, Excel Macro, etc. c. Experience in multidisciplinary..."
https://kr.indeed.com/viewjob?jk=0feb2770202a5be1,(주)넷타겟 연구원 (웹프론트엔드 개발자),넷타겟 대전 유성구,,"bash, python, 등)으로 기존에 작성된 다양한 과학계산 코드들을 웹서비스의 형태로 구현하기 - 과학계산 Software API( Python... Django framework( Python) 에 대한 이해 - 새로운 기술..."
https://kr.indeed.com/viewjob?jk=5cb14c0712a6c4c1,시스템 엔지니어링,NHN 4.4 성남 판교역,,"Windows OS 스킬 보유 및 X86 서버 운영 경험 보유 - 기본적인 운영도구 개발 가능자 * Python, Django, JAVA - 웹 서비스 또는 플랫폼 개발 경력 보유자 - OpenStack 기반의..."
https://kr.indeed.com/viewjob?jk=464ef95516a5fa5c,8퍼센트 경력 개발자,8퍼센트 서울 종로구,,"개발업무 - 금융 서비스 개발 - Python/Django 기반 - 정해진 역할이 아닌 기능에 따른 업무 분배 - 프로트엔드부터 백엔드까지 업무 범위... SQL 기본 - git flow - python, django 경험자 우대"
https://kr.indeed.com/viewjob?jk=5d0ad90362ec251c,[해외취업] IT엔지니어,글로벌트러스트네트웍스코리아 서울 서초동,,일상회화 레벨 ・프로그래밍 경험(Java、VB.NET、C#.NET、ASP.NET、PHP、C、C++、VB、 Python/Ruby등 Script언어 등) 【환영스킬・자격】 ・개발 경험이 있는 분 ・서버/네트워크 설계/구축 경험...
https://kr.indeed.com/viewjob?jk=4cf22ca4d39d690a,고용노동부 주최 K-Digital 사업 / 의료인공지능 핵심인력양성사업...,건양대학교 산학협력단 충청남도 논산,,바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>응용프로그래머>JAVA|인터넷·IT·통신·모바일·게임>응용프로그래머>홀로그램|인터넷·IT·통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일...
https://kr.indeed.com/viewjob?jk=eaee1538d8cc832f,메시지발송 플랫폼 개발자,Nexon 성남 분당구,,"개발 가능하면서 python 개발 경험 소유자(또는 Python 개발 가능... NET 또는 python 개발 경력 5년이상 - 자동화를 위한 스크립트(powershell, bash, python 등) 경험 - Windows..."
https://kr.indeed.com/viewjob?jk=6a128eae7d0de8fb,[해외취업] AI・RPA 엔지니어,글로벌트러스트네트웍스코리아 서울 서초동,,"로젝트에 할당하겠습니다. 【프로젝트 예】 AI 기술개발 빅데이터 분석( Python, Hadoop, Mongo DB, Angular 등) RPA 도입... Java, ・PHP ・.NET ・ Python 【환영 스킬・자격】 ・고객..."
https://kr.indeed.com/viewjob?jk=26678e77fa64603b,[던전앤파이터(중국)] 컨텐츠 기획자(경력),네오플 서울 강남구,,"없으신 분 우대사항 - 액션 게임 개발 경험이 있으신 분 - 던전 및 몬스터 제작 경험이 있으신 분 - Python, Lua, VBA 활용 가능자 - 전투,아이템 밸런싱 기획 경험이 있으신 분 기타사항 ※ 포트폴리오 첨부..."
https://kr.indeed.com/viewjob?jk=097c35ed002a62e5,NAVER IDC 서버 운영/관리(평촌),NIT Service 안양 동안구,,"Web, WAS에 대한 지식과 System application 운영 경험 - Shell script, python 활용 가능 - 해외 데이터센터 인프라 구축 또는 운영 경험 - 국가보훈대상자 및 장애인은 법령에 의거 우대..."
https://kr.indeed.com/viewjob?jk=3b752abecf619fe5,채팅모듈 개발자,Nexon 성남 분당구,,"대사항 - 대규모 동시 접속 및 고용량 데이터 처리 경험 - Unix/Linux 시스템에 대한 이해 - Python, Java, Event-Driven Framework에 대한 이해 - TCP/IP와 네트워크 프로그래밍..."
https://kr.indeed.com/viewjob?jk=a4015a0d112e9569,프론트엔드 정규직,바이오에이아이 서울 강남구,,"프론트 엔드 구현 - DB 구축 - 신규 기능 개발 및 반영, 지속적인 개선 및 유지 보수 자격 조건 - Python, Django - RDBMS 경험 - UI개발 경험 우대 사항 - 딥러닝에 관심있으신 분 - 단위 테스트..."
https://kr.indeed.com/viewjob?jk=1dfcccd87594a1a8,Production Data Analyst,하이퍼커넥트 서울,,활용할 수 있도록 가이드 Minimum Qualifications 능숙한 SQL 구현 역량 R 또는 Python 분석 코드 구현 역량 Preferred Qualifications 데이터 관련 분야 학위 보유 머신러닝...
https://kr.indeed.com/viewjob?jk=2238a8f7a38080f3,리서치분야 경력직,케이지제로인 대한민국,,"모델링 자격 요건 - 금융공학, 경영학(재무학), 경제학, 수학 등 관련 분야 전공자 - SQL, R, Python 등 Tool 숙련자 우대사항 - 금융관련 자격증 소지자 / 재무 및 통계 관련 석박사 / 펀드 관련..."
